ascii,unicode,collection,pairs,reserved,premium,status,notes,hash,nope,beachfront,description,tier,tier (toptlds),emoji,reserved
balaklava,balaklava,,,,,,,57b3a7e1bfd9ba816d1894d61a0bcacf87e71dc5f68358811795bfe8c719ce7e,,TRUE,,COMMON,COMMON,,
balc,balc,&c,,,,,,00ee14dd66859d082c68bddc02c6747015798fc1dff4af888630883469ac151d,,,,DEFAULT,COMMON,,
bald,bald,generic,baldy,,"aero, aerodynamic, are, be, cool, im, my, sleek, smooth, us, we, weare, were",,,bfb613200eaf13daa1fbfd6f7b1a1120c3db2a685e0ad00ffe6bf79a9563d4e1,,TRUE,,EPIC,LEGENDARY,,
baldest,baldest,&c,,,,,,1cc0f9ec1426a66e8d1b921bfe8520af57ade2762d8f5b3c002c0a0f552b723a,,,,DEFAULT,COMMON,,
baldish,baldish,&c,,,,,,57ce8937c33f5369bd9f8109eb59aac8e75b9cc7d136498bcf5a250e7e81a012,,,,DEFAULT,COMMON,,
baldy,baldy,generic,bald,,"aero, aerodynamic, are, be, cool, im, my, sleek, smooth, us, we, weare, were",,,bfb613200eaf13daa1fbfd6f7b1a1120c3db2a685e0ad00ffe6bf79a9563d4e1,,TRUE,,COMMON,COMMON,,
balis,balis,&c,,,,,,0b89aa3219ecedc31fb9b3c17d68e2ed15da56fe4b01f8b2ca2e702bd3130cfc,,,,COMMON,DEFAULT,,
ballistics,ballistics,&c,,,,,,514d27e11b755d2f6918e421b606e36e432d354225514c5152a368ce0c058ea4,,,,COMMON,COMMON,,
ballpoint,ballpoint,write,,,,,,258c23662f42109e454b3969803d9c54fe97fa6d526f14ea7ac7284a08ae115c,,TRUE,,COMMON,COMMON,,
bandages,bandages,&c,,,,,,13fa19c88ca1808b027bf18b2be28ec937b235a66ca3e6cbce1193522fb2eebb,,,,COMMON,COMMON,,
bandolier,bandolier,&c,,,,,,a88c6be586e27681f11e7a026456de9d403d388569ab6c6858baea0a1eaec50d,,,,DEFAULT,COMMON,,
banjo,banjo,music,,,,,,3dfedc7ea1358ffb9291e89463247f37cd51def118c5360588be1160d8778500,,TRUE,,RARE,COMMON,,
barbecued,barbecued,&c,,,,,,1d6d76027e7fc0d00f4074a430a2714a1159fe111cd1189cc05175ea4347fecf,,,,COMMON,COMMON,,
baremetal,baremetal,tech,,,"analog, analogue, api, buy, comp, compute, computer, kernel, os, serve, server, shop, system, unikernel",,,cec898d3471e9533289aacfbe1f5a57c76e079c3b4a42759b5d164805f6caa83,,TRUE,,DEFAULT,DEFAULT,,
bareserver,bareserver,,bareservers,,,,,e59889b41dc8d0328ce36ee0ff3e79b142809c5f4c71b279ef0a2301572902d7,,TRUE,,DEFAULT,DEFAULT,,
bareservers,bareservers,,bareserver,,,,,2bbb69dab6a423bbdeb895a3557f4194fbae35fc44c9ba97cdb45093e8cb4bd4,,TRUE,,DEFAULT,DEFAULT,,
barnacle,barnacle,nature,,,,,,fb496b05901bea46699829c867a69670e4d354e14bcf1b7f572c89fc2dd4de68,,TRUE,,COMMON,COMMON,,
barwise,barwise,&c,,,,,,11159c97a006077935e9da780252ff466281ca6107c4289944f4b82c4f69eb1b,,,,DEFAULT,COMMON,,
bashy,bashy,,,,,,,f811537afafb39a2f655bc05448c272b36a199e2fbdaf87471b7424ad655a521,,,,DEFAULT,DEFAULT,,
battlechip,battlechip,mmbn,battlechips,,,,,9ea42b204e7b2345cdb67be0cd8a48300090b67b6e6a248fc4dc4dee42008a26,,TRUE,,DEFAULT,DEFAULT,,
battlechips,battlechips,mmbn,battlechip,,,,,a99ac54e470101b946b9300ef0f19931fb827eab2d94ac16e17500f4956086af,,TRUE,,DEFAULT,DEFAULT,,
bawse,bawse,"business, culture",,,,,,1ece8244b88b82fe79e0d459b756eb6801f1efa94fe23715f3f002e04e6a75fb,,,,DEFAULT,DEFAULT,,
bchfrnt,bchfrnt,,,,,private,,45990483ece948a4af9250af3d866f892c2a98e36251062c650d5698c6c9fb90,,,,DEFAULT,DEFAULT,,
bdfl,bdfl,,,,,,"""Benevolent Dictator For Life""",201266a8649c39393554ee44a133eea9dc8dee19d2a602ba1924b94dec29e377,,,,DEFAULT,COMMON,,
